ID,lat,lon
107714,37.49865724051410,127.02442005830700
107676,37.498872553907500,127.02513309025200
107675,37.49903414717100,127.02515158311900
107290,37.501539502426100,127.0221591065780
252,37.49906907428630,127.02579162670800
253,37.49930400506900,127.02606665711400
254,37.49927217157110,127.02593167084600
255,37.49921645686640,127.02572169030800
256,37.49906349829540,127.02529295644400
257,37.49912479656510,127.02596661338400
107674,37.498554627017500,127.02332600189400
258,37.499232258556400,127.02631158704200
259,37.49932379019190,127.02664655785400
107673,37.498628037618700,127.02354114182100
262,37.499495070673100,127.02657663136800
278,37.49967829980860,127.02650670878600
107672,37.49927449084340,127.02321559321400
194033,37.50149996958710,127.02399073343200
107663,37.499196198303100,127.02292054901300
107154,37.50180826155180,127.02501114497900
107155,37.50170551093880,127.02461159113800
107176,37.50169097165700,127.02387401192400
107177,37.5020239905955,127.0237204559330
107178,37.502699824017400,127.02340104984700
107179,37.50189182999580,127.02344382296600
107460,37.49921086983510,127.02301889350400
107455,37.49950486123510,127.02208475002400
106906,37.5026847864391,127.0250913423210
106907,37.50253296873410,127.0251589032660
107129,37.501925694842600,127.02544143725500
107076,37.50205792651700,127.02536772431700
107075,37.502209740402700,127.02531860371000
114849,37.49986018505460,127.02641759302600
102592,37.50245024099550,127.0225896318480
106939,37.502410534900800,127.02521418079800
106859,37.502827152663800,127.02335191721200
106860,37.50243032572130,127.02424303819500
106861,37.50241064011850,127.02471631330700
194044,37.4997152918086,127.02279778184400
193725,37.50067379568350,127.02604277925400
193726,37.500939463595800,127.02592304735600
193727,37.50108890408940,127.02584495266900
193728,37.50133797032150,127.02572000393900
193729,37.501537219587900,127.0256367156770
193730,37.501632698061200,127.02557423078700
193731,37.5017406239437,127.02553258918100
193732,37.50171566687410,127.02577744129900
193733,37.49890687388030,127.02522318104200
193734,37.498938120771800,127.02536844599800
193738,37.499176526826900,127.02618159153100
193992,37.49847137390210,127.02335670694700
193993,37.49831465409820,127.02345499696500
193994,37.4983782670017,127.02368857178400
193995,37.49857905405000,127.02361488082700
193996,37.49900968234160,127.02505938140500
194018,37.5017990613311,127.02203010757100
194025,37.5013240637364,127.02202996801400
194027,37.50111348055090,127.02212210224100
194028,37.50084902694750,127.02223880552900
194029,37.500912644563900,127.02246009443400
194030,37.50122117845710,127.02230038005500
194031,37.500741287413,127.02228179820700
194034,37.5004224137376,127.02515204876600
194035,37.50053277265180,127.0255894847960
194036,37.50038867923400,127.02245379114300
194037,37.49991358823850,127.02293920721500
194038,37.49980829567850,127.02298834540000
194039,37.50024624497900,127.0245865268310
194040,37.50011168951280,127.0240578988290
194041,37.49991567325870,127.02474007614700
194042,37.49975908627170,127.02419300420000
194043,37.49984752188380,127.02272406641400
130105,37.50159528212250,127.02585033700000
71799,37.49988243395210,127.02699201028000
71798,37.499939655051000,127.02696043366400
71797,37.50044776913430,127.02671932690200
71796,37.5007727789376,127.02656432739500
71795,37.50107261056200,127.02642655278100
66722,37.50301000000000,127.02674000000000
71821,37.50276000000000,127.02685
71822,37.502300000000000,127.02644000000000
71823,37.50205000000000,127.02697000000000
130106,37.50101773069210,127.02622258485400
130107,37.50085293749370,127.02630008496600
130138,37.50268850168900,127.02564865330600
130139,37.50232458085830,127.02583524556600
130140,37.502013305949500,127.02597876598500
130144,37.50166083241820,127.02614237864000
130145,37.50129462347150,127.0263232200940
130148,37.501740000000000,127.02671000000000
71820,37.50285000000000,127.02618
