"노드링크 유형","노드 WKT","노드 ID","노드 유형 코드","링크 WKT","링크 ID","링크 유형 코드","시작노드 ID","종료노드 ID","링크 길이","시군구코드","시군구명","읍면동코드","읍면동명","고가도로","지하철네트워크","교량","터널","육교","횡단보도","공원,녹지","건물내"
"NODE","POINT(127.01011029283517 37.56032906838477)","10154","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.00931650786902 37.55941633308537)","10155","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.00564159774638 37.54675290823164)","8017","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.00554100136631 37.54679410666798)","8018","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.00685175858729 37.547773531802704)","8020","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.00674827852667 37.54771861287365)","8021","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","1","",""
"NODE","POINT(127.00665344309263 37.54790627828809)","8022","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","1","",""
"NODE","POINT(127.00666049957991 37.547693025774905)","8024","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","1","",""
"NODE","POINT(127.00610730155303 37.547637404700716)","8025","2","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.00653270104704 37.547667132913844)","8026","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","1","",""
"NODE","POINT(127.00685030080419 37.547548110988565)","8027","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.00729291289382 37.54723913196679)","8028","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","1","",""
"NODE","POINT(127.00729003303401 37.54718191871419)","8029","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","1","",""
"NODE","POINT(127.00699686721242 37.54730322892141)","8030","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","1","",""
"NODE","POINT(127.00708022813139 37.54737188006751)","8031","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","1","",""
"NODE","POINT(127.01810182838095 37.56570643577754)","9127","0","","0","","","","","1114000000","중구","1114016500","황학동","","","","","0","0","",""
"NODE","POINT(127.01740893484468 37.565624152901684)","9128","0","","0","","","","","1114000000","중구","1114016300","흥인동","","","","","0","0","",""
"NODE","POINT(127.01689712074464 37.56533587247036)","9130","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.0171731805918 37.56560359065938)","9131","0","","0","","","","","1114000000","중구","1114016300","흥인동","","","","","0","0","",""
"NODE","POINT(127.0170181293054 37.56647554299524)","9132","0","","0","","","","","1114000000","중구","1114016300","흥인동","","","","","0","0","",""
"NODE","POINT(127.0172708236417 37.56514129332807)","9133","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.0168251421954 37.56487359964095)","9134","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.01699188394882 37.56484611339667)","9135","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.01722476554205 37.564887273196014)","9136","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.01735123113157 37.56474536579559)","9137","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.01758414918717 37.5649421449441)","9138","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.01666681617861 37.56396278695482)","9139","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.01846951332845 37.56443166747931)","9140","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.01857300578759 37.564408765938765)","9141","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.01847233289884 37.56420739104498)","9142","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.01836309024442 37.56422800486195)","9143","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.01872248988326 37.56435610612618)","9144","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.01890091342896 37.56505636799656)","9159","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.01886930893643 37.56513647161039)","9160","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.01863356665088 37.56515939435482)","9161","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.01878883491456 37.56523717977376)","9162","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.01895560343026 37.56531496314155)","9163","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.01888367399305 37.56509756429967)","9164","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.01876859407925 37.56477489987765)","9165","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.01885482043066 37.564685633453706)","9166","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.01899271848704 37.5642919841088)","9167","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.01928609010545 37.564786259128034)","9168","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.019447153416 37.5650379710417)","9169","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.01972303122925 37.56458479626808)","9170","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.01973334331899 37.56421606369144)","9171","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.01943830313265 37.56417061946659)","9172","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.0194959372801 37.56469010638613)","9173","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.02134775835614 37.56000717681898)","10200","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.02162503838001 37.5603895854366)","10201","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.02186364820335 37.560396407088184)","10202","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.02069813252949 37.560275050753)","10203","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.02658979823535 37.56371811067395)","10220","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.02478955056903 37.56498032904672)","10221","2","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.02068072818359 37.565804418989075)","10222","0","","0","","","","","1114000000","중구","1114016500","황학동","","","","","0","0","",""
"NODE","POINT(127.02119611249012 37.56594678857265)","10223","0","","0","","","","","1114000000","중구","1114016500","황학동","","","","","0","0","",""
"NODE","POINT(127.00351993644472 37.56735785053295)","73965","0","","0","","","","","1114000000","중구","1114015100","을지로5가","","","","","0","0","",""
"NODE","POINT(127.00387931858981 37.567348685153455)","73966","0","","0","","","","","1114000000","중구","1114015100","을지로5가","","","","","0","0","",""
"NODE","POINT(127.00418407462995 37.56734180915795)","73967","0","","0","","","","","1114000000","중구","1114015100","을지로5가","","","","","0","0","",""
"NODE","POINT(127.00423977176982 37.56735022844055)","73968","0","","0","","","","","1114000000","중구","1114014800","을지로6가","","","","","0","0","",""
"NODE","POINT(127.00410933374738 37.56753633677872)","73969","0","","0","","","","","1114000000","중구","1114015100","을지로5가","","","","","0","0","",""
"NODE","POINT(127.00455891089564 37.567471508604875)","73970","0","","0","","","","","1114000000","중구","1114014800","을지로6가","","","","","0","0","",""
"NODE","POINT(127.00457219770435 37.56717702064583)","73971","0","","0","","","","","1114000000","중구","1114014800","을지로6가","","","","","0","0","",""
"NODE","POINT(127.00477741366782 37.56743717202482)","73972","0","","0","","","","","1114000000","중구","1114014800","을지로6가","","","","","0","0","",""
"NODE","POINT(127.00637346034055 37.56786802343288)","73973","0","","0","","","","","1114000000","중구","1114014800","을지로6가","","","","","0","0","",""
"NODE","POINT(126.96771167416604 37.555884462386)","14607","0","","0","","","","","1114000000","중구","1114017300","만리동1가","","","","","0","0","",""
"NODE","POINT(126.9677777677539 37.55593711671783)","14608","0","","0","","","","","1114000000","중구","1114017300","만리동1가","","","","","0","0","",""
"NODE","POINT(127.00749437826151 37.56772767403752)","73985","0","","0","","","","","1114000000","중구","1114014800","을지로6가","","","","","0","0","",""
"NODE","POINT(127.00732759072353 37.567388982169426)","73986","0","","0","","","","","1114000000","중구","1114014800","을지로6가","","","","","0","0","",""
"NODE","POINT(127.00791412954868 37.56763610547513)","73987","0","","0","","","","","1114000000","중구","1114014800","을지로6가","","","","","0","0","",""
"NODE","POINT(127.00759783354728 37.56726080744056)","73988","0","","0","","","","","1114000000","중구","1114014800","을지로6가","","","","","0","0","",""
"NODE","POINT(126.96507321770069 37.55493168127287)","14609","0","","0","","","","","1114000000","중구","1114017400","만리동2가","","","","","0","1","",""
"NODE","POINT(127.00408863195392 37.557130796893226)","72087","0","","0","","","","","1114000000","중구","1114014400","장충동2가","","","","","0","0","",""
"NODE","POINT(127.00383851494387 37.55672344633629)","72088","0","","0","","","","","1114000000","중구","1114014400","장충동2가","","","","","0","0","",""
"NODE","POINT(127.02071789089617 37.569337627456974)","72247","0","","0","","","","","1114000000","중구","1114016500","황학동","","","","","0","0","",""
"NODE","POINT(127.02077683128017 37.57022584033417)","72248","0","","0","","","","","1114000000","중구","1114016500","황학동","","","","","0","0","",""
"NODE","POINT(126.96544133869622 37.55455418145071)","14420","0","","0","","","","","1114000000","중구","1114017400","만리동2가","","","","","0","0","",""
"NODE","POINT(126.96839903370008 37.55851760585636)","14421","0","","0","","","","","1114000000","중구","1114017100","중림동","","","","","0","0","",""
"NODE","POINT(126.96841044176576 37.55873273098263)","14422","0","","0","","","","","1114000000","중구","1114017100","중림동","","","","","0","0","",""
"NODE","POINT(126.96613519108409 37.55851697824047)","14423","0","","0","","","","","1114000000","중구","1114017100","중림동","","","","","0","1","",""
"NODE","POINT(127.00974187160756 37.558647351794285)","73226","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.01021339573938 37.55915307766744)","73227","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.0102478685529 37.5589768576697)","73228","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(127.00864376531992 37.558986140132866)","73229","0","","0","","","","","1114000000","중구","1114016200","신당동","","","","","0","0","",""
"NODE","POINT(126.9660375139407 37.558377349686296)","14424","0","","0","","","","","1114000000","중구","1114017100","중림동","","","","","0","0","",""
"NODE","POINT(126.96822367572987 37.558517558791955)","14426","0","","0","","","","","1114000000","중구","1114017100","중림동","","","","","0","0","",""
"NODE","POINT(126.96652894081258 37.55871161579849)","14427","0","","0","","","","","1114000000","중구","1114017100","중림동","","","","","0","0","",""
"NODE","POINT(126.966560502482 37.55884664816652)","14428","0","","0","","","","","1114000000","중구","1114017100","중림동","","","","","0","0","",""
"NODE","POINT(126.96782125615098 37.55842133142611)","14429","0","","0","","","","","1114000000","중구","1114017100","중림동","","","","","0","0","",""
"NODE","POINT(126.96856872105559 37.5583299914633)","14430","0","","0","","","","","1114000000","중구","1114017100","중림동","","","","","0","0","",""
