latitude,longitude
37.4344671,126.9030749
37.4344925,126.9033619
37.43458362,126.9028452
37.43459752,126.9030461
37.43464445,127.0660518
37.43473803,127.0661588
37.43477056,126.9033486
37.43486896,126.9033399
37.43586105,126.9027505
37.43586558,126.9032755
37.43715958,127.063477
37.43723273,127.0635873
37.43803184,126.9034176
37.43808672,126.903363
37.43862154,126.9028794
37.43866795,126.8991445
37.43879893,126.89912
37.43879912,126.899341
37.43880132,126.8992463
37.43885957,126.9028999
37.43888437,126.9034588
37.43892511,126.9029077
37.4404974,126.9036476
37.44053269,126.9034295
37.44053604,126.9033204
37.44056104,126.9031166
37.44245776,126.9038855
37.44247563,126.9033488
37.44362848,126.904029
37.44364635,126.9034836
37.44476355,127.0575392
37.44482083,127.0576892
37.4468191,127.0561909
37.44690934,127.0563042
37.4470242,127.0559737
37.44710712,127.0561084
37.44711903,126.9032021
37.44724762,126.9037301
37.44736383,126.9031092
37.44744645,126.9033904
37.44816937,127.054744
37.44826449,127.0548726
37.44830671,126.9030965
37.44835722,126.9032859
37.4484671,126.903326
37.44857636,126.9026082
37.44864555,126.9032511
37.44866354,126.9028664
37.44871869,126.9031419
37.44891737,126.9048437
37.44908205,126.9047171
37.4496563,127.0532788
37.44970821,126.9057325
37.44973922,127.0534074
37.44975289,126.9180873
37.44979501,126.9055257
37.44981207,126.920965
37.44984859,126.9208286
37.44986841,126.9027824
37.44988336,127.0530769
37.44989948,126.9207769
37.44991308,126.9180642
37.44992788,126.9196222
37.44993078,126.9021048
37.44993257,126.9197858
37.44995895,127.0532117
37.44995921,126.9032702
37.44997002,126.9144465
37.44998217,126.9033678
37.45000353,126.9125433
37.45002112,126.9034223
37.45003466,126.9210121
37.45003999,126.9027046
37.45004679,126.90263
37.45005515,126.9208427
37.45009736,126.9198028
37.45009857,126.9207595
37.45013937,126.9144406
37.45016509,126.9031609
37.45017519,126.9125718
37.45018585,126.9033589
37.45019264,126.9032757
37.45031054,126.9114665
37.45033107,126.9113803
37.4503707,126.9045942
37.45038364,126.911297
37.45053312,126.904505
37.4505416,126.9113571
37.45056398,126.909929
37.45069221,126.9059746
37.45070345,126.9057248
37.45074251,126.9099575
37.45075172,126.9100292
37.45080649,126.9098253
37.45084615,126.9060203
37.4508565,126.9068147
37.45090328,126.9077354
37.45091859,126.9057389
37.45091938,126.9060202
37.45092243,126.9088176
37.45092745,126.9068204
37.45097946,126.9060201
37.45098843,126.9057905
37.45099024,126.9077181
37.45100207,126.9082176
37.45108543,126.9008029
37.4510913,126.9081887
37.45111019,126.9089408
37.45122957,126.9007539
37.45123078,126.9022108
37.45125148,126.908157
37.45125531,126.908678
37.45126617,126.9007395
37.45126686,126.9015634
37.45129256,126.9021906
37.45131357,126.9085502
37.45131657,126.9008026
37.45137667,126.9015145
37.45140488,126.9082515
37.45142932,126.901523
37.4514636,126.9014655
37.45154934,126.9020625
37.45175575,126.9069658
37.45190687,126.9070661
37.45200881,126.906105
37.45202351,126.9058868
37.45209584,126.9061881
37.45228353,126.9062195
37.4523055,126.9057888
37.4524454,126.9061532
37.45249092,126.9058374
37.45253219,126.905935
37.45258239,126.92097
37.45264176,126.920769
37.45269449,126.9010391
37.45274501,126.90124
37.45277258,126.9013662
37.45280938,126.9015843
37.45303846,127.0513603
37.45312146,127.0513114
37.45315064,127.0515502
37.45320443,127.0513175
37.45322875,127.0515135
37.45324832,127.0514094
37.4533435,126.9040532
37.45337983,126.8975747
37.45346776,126.9041815
37.45362687,126.8974251
37.45380014,126.9060346
37.45382777,126.9062549
37.45383087,126.9032365
37.45396142,126.9033598
37.45406719,126.9005076
37.45418207,126.9010472
37.45448353,127.0506755
37.45448908,126.9021405
37.45449813,127.0507735
37.45451439,126.9002515
37.45461048,126.9022695
37.45471234,126.9009201
37.45472208,126.9016206
37.45474775,126.9001651
37.45486908,126.9002051
37.45488052,126.9008769
37.45489367,126.9015515
37.45498395,126.9007275
37.45509812,126.9057753
37.45513032,126.9059762
37.45572614,127.0625774
37.45584391,127.0164474
37.45586547,126.8946101
37.45586563,126.8947823
37.45592063,126.8948684
37.45597101,126.8949085
37.45598027,126.895029
37.45599429,127.0164474
37.45604234,127.017895
37.45605307,126.8945409
37.45608539,126.8948452
37.4561036,126.8947361
37.45611396,127.0153882
37.45612991,127.0628134
37.45614028,126.8948106
37.45618466,127.0178675
37.45620649,127.015514
37.45623642,126.8948335
37.4562775,127.0191996
37.45632221,127.0151803
37.45632574,126.9055182
37.45635602,127.0692866
37.45636024,126.9057421
37.45638774,127.0153302
37.45641435,127.0191378
37.45644527,126.8968011
37.45660578,127.0200374
37.45661914,126.8967262
37.45665703,126.8942817
37.45671675,126.8945285
37.45675905,127.0199619
37.45676826,127.0690959
37.45694751,126.8885023
37.45695763,127.0597099
37.45703792,126.8993439
37.45710345,126.8888351
37.45719366,127.0149724
37.45719911,126.8883469
37.45720907,127.0151466
37.45724039,126.8884387
37.45725128,127.013134
37.45729413,126.8992229
37.45730001,126.8885649
37.45730219,127.0223953
37.45733034,127.0478058
37.45734799,126.9053153
37.45735041,127.0599826
37.45735728,127.0153805
37.45736418,126.8886625
37.45736934,127.0479161
37.45737333,126.9055191
37.45738342,126.8896557
37.45740401,126.8992572
37.45741825,127.0222804
37.45746825,126.8994409
37.45749368,126.8900919
37.45754634,126.8997681
37.45754886,127.0130941
37.45767612,127.0153472
37.45774935,126.8893968
37.45791075,126.8894569
37.45804606,126.889761
37.45807231,126.988264
37.45816326,127.0229127
37.45818467,127.0227365
37.45820894,126.9051506
37.45822398,126.9053623
37.45822864,127.0472921
37.45824325,127.0473901
37.45825143,126.9887434
37.45855994,126.9297064
37.45870846,126.9296157
37.45881895,126.905284
37.45886471,126.9052725
37.45901429,127.0183477
37.45906303,127.0231721
37.45913357,127.0230189
37.45927707,127.0181117
37.45939522,127.0241735
37.45951451,126.8984247
37.45953371,127.0241736
37.4596029,126.8987548
37.45961448,126.9048911
37.45963753,126.9050921
37.4596534,126.8989356
37.4596755,127.0197207
37.45971835,127.0544767
37.45974579,127.0197256
37.45977813,127.0543803
37.45983556,127.0199362
37.45984454,127.0280652
37.45987069,127.0200195
37.45997043,127.0280858
37.45999467,127.0251053
37.46000251,127.0249338
37.46000606,126.92733
37.46010516,126.9274875
37.46011638,127.0815003
37.46011646,127.0213238
37.46017514,127.0206919
37.4601771,127.0816409
37.46019464,127.0208193
37.4602258,127.0212307
37.46025066,127.0817293
37.46025379,127.0818297
37.46027767,126.8921799
37.46029638,127.0195347
37.46032214,126.8923494
37.46035106,127.0194759
37.46035294,127.0359325
37.46043635,126.8921023
37.46044116,127.0280928
37.46045397,127.0356793
37.4604568,126.9194062
37.46048684,126.892263
37.46051072,127.0357861
37.46051999,127.0364233
37.46058493,126.9194922
37.46059282,127.0355289
37.46060512,127.0365698
37.46067984,127.103709
37.460699,126.9190617
37.46074427,127.0205745
37.46074816,127.0206872
37.46076685,127.1036545
37.46078602,126.9192165
37.46084138,127.1021732
37.46092599,127.1022509
37.46095125,127.0204325
37.46098912,126.9219478
37.46102372,126.9254917
37.46106838,127.0204766
37.46107596,126.9218444
37.46111927,126.9222432
37.4611596,126.9255502
37.46117465,126.9189521
37.4611931,126.9191759
37.46124997,126.9221139
37.4614188,127.1016075
37.46146294,126.9191125
37.46147654,126.9189346
37.46148395,127.1016937
37.4615114,126.9247031
37.46151553,126.9245114
37.46153256,127.0853718
37.46163986,126.8975778
37.46173201,127.0369904
37.4617496,126.8974513
37.46175474,126.8981059
37.46186306,127.0371789
37.46191431,126.8973764
37.46197773,127.0851395
37.46216814,126.8913878
37.46218351,126.9043122
37.46218913,127.0224897
37.46220946,126.8915256
37.46225462,126.9045188
37.46231608,127.0223305
37.46231967,127.1012326
37.4623562,127.101336
37.46269611,126.9042649
37.46275267,127.0358694
37.46279998,126.9041868
37.46285408,126.9038659
37.4628599,127.036025
37.46292202,126.9189215
37.46292748,126.9040754
37.4629633,126.9190937
37.46300202,127.1008115
37.46305915,127.1009121
37.46319495,127.1037412
37.46321545,127.103856
37.46328437,127.1009018
37.46329124,127.1035518
37.46330622,127.0904748
37.46335078,127.1008531
37.46339195,127.103529
37.46348569,127.1036382
