node_key,latitude,longitude
17035,37.51020382516751,127.01882969179407
17036,37.5099280671719,127.01893470149889
17037,37.510036435402064,127.01867512161718
17038,37.50986903863745,127.01856381990838
17039,37.50947502285196,127.01918801129332
17040,37.50932737873123,127.01872439350026
17041,37.50901218651531,127.01909517720973
17042,37.50911060805156,127.01944752206191
17043,37.50859846999846,127.01973171549908
17044,37.50866244084999,127.01997279179884
17045,37.50835764593192,127.01682658835527
17046,37.509044304964725,127.01838436540892
17047,37.509450604011285,127.01790852213895
17048,37.50884245739916,127.01816179894514
17049,37.50904201361996,127.01725323395141
17050,37.5086013379919,127.01712951238973
17051,37.50874411368181,127.01725934640547
17052,37.50864061034555,127.01793305267022
17053,37.508566655622566,127.01855113537286
17054,37.50846804868374,127.01934845942984
17055,37.50854663047913,127.02054141315209
17056,37.50840883534384,127.02010252503857
17057,37.508320196848274,127.02014576815411
17058,37.50818710709675,127.02096780174709
17059,37.507995188530415,127.02030638568867
17060,37.507842533253175,127.02038051566811
17061,37.50775887057677,127.02012089355539
17062,37.507286133067915,127.0203432790127
17070,37.50744366315887,127.02055347274641
17075,37.5074093159955,127.0198488397602
17076,37.50764075935213,127.01974382527114
17077,37.50751278886704,127.01942856479829
17078,37.50779347338675,127.01931119967925
17079,37.50731581651613,127.01951504636114
17080,37.50690217888371,127.01966946035229
17081,37.506995671647964,127.02004033734647
17082,37.51025811303235,127.01803233793044
17083,37.51052926474346,127.017362423307
17084,37.50671533006222,127.01803148573453
17085,37.506897567715775,127.01769158191885
17086,37.50341835637966,127.02040558047052
17087,37.50352661875904,127.02077644523929
17088,37.507453755866834,127.01909478024147
17089,37.50680868192245,127.01931712685888
17090,37.504711140738806,127.01892720318482
17091,37.50476526436621,127.01917444446957
17092,37.50505102717087,127.01807435044644
17093,37.504105461455445,127.01913101127414
17094,37.50454382944086,127.01827200968555
17095,37.5036179536523,127.01935338833442
17096,37.5040591894989,127.02083217532079
98178,37.48127277694943,126.99458555754228
12623,37.47796500051853,126.99109594085667
12631,37.47677490306906,126.99163606425002
12640,37.47619778083226,126.99390403634726
12644,37.475525514819815,126.9933231542598
12651,37.47594399577376,126.99339014856085
16901,37.51382558445116,127.01933411861509
