node_key,cctv,Roadside,Children,Alcol,Bus
164469,1,0,0,0,0
93759,2,0,0,0,0
165581,1,0,0,0,2
165582,0,0,0,0,1
165583,0,0,0,1,1
134146,0,0,0,1,1
165584,2,0,0,2,0
127919,0,0,0,1,0
165585,2,0,0,1,0
165586,0,0,0,2,0
93760,1,0,0,1,0
154123,0,0,0,0,1
154126,2,0,0,0,1
93761,4,0,0,1,0
154155,0,0,0,0,0
154156,0,0,0,0,0
93762,1,0,0,1,0
155336,0,0,0,0,0
155337,0,0,0,0,0
155338,2,0,0,0,0
155364,1,0,0,0,0
93763,1,0,0,1,0
155365,0,0,0,1,0
155366,0,0,0,0,0
155367,0,0,0,0,0
93764,1,0,0,0,0
155368,0,0,0,0,0
128356,0,0,0,0,0
155369,0,0,0,0,0
155370,0,0,0,0,0
155371,0,0,0,0,0
155372,0,0,0,0,0
128355,0,0,0,0,0
155373,0,0,0,0,0
155374,1,0,0,0,0
152108,2,0,0,0,0
93765,1,0,0,0,0
152109,1,0,0,0,0
152110,0,0,0,0,0
141882,2,0,0,1,0
152111,1,0,0,0,0
152112,1,0,0,0,0
152113,1,0,0,0,0
141881,1,0,0,1,0
152114,1,0,0,0,0
152117,1,0,0,0,0
152118,1,0,0,0,0
152278,0,0,0,2,0
152286,0,0,0,2,0
152895,0,1,0,0,3
152896,0,1,0,3,1
152897,1,0,0,1,0
152898,1,0,0,1,0
152899,2,0,0,2,0
152900,1,0,0,0,0
152903,0,0,0,1,0
152904,0,0,0,0,0
94812,0,0,0,0,0
152905,0,0,0,3,0
152906,0,1,0,0,0
152907,0,1,0,0,0
152908,2,2,0,0,0
152909,2,1,0,0,0
152910,2,1,0,0,0
152911,0,0,0,0,0
99492,0,0,0,0,0
152914,0,1,0,0,0
152915,0,1,0,0,0
99493,0,0,0,0,0
165587,0,2,0,0,1
99494,0,0,0,0,0
165588,0,2,0,1,0
165589,0,1,0,0,1
152499,2,0,0,0,0
165590,1,0,0,3,0
165591,1,0,0,2,0
165592,1,1,0,0,0
152500,2,0,0,0,0
152501,2,0,0,0,0
152502,2,0,0,0,0
152505,3,0,0,0,0
152506,0,0,0,0,0
152507,2,0,0,0,0
152508,2,0,0,0,0
134145,0,0,0,0,1
152509,2,0,0,0,0
152510,0,0,0,1,1
152511,0,0,0,0,0
152512,0,0,0,0,0
152513,0,0,0,0,0
152514,0,0,0,0,0
152515,1,1,0,0,0
152516,1,0,0,0,0
152517,1,0,0,0,0
