latitude,longitude
37.43412338,126.9045056
37.43429445,126.9035201
37.43452,126.9035507
37.44092857,126.9037736
37.44101594,126.9044503
37.44207181,126.9046271
37.44226467,126.9040479
37.44241029,126.9032321
37.44244109,126.9046104
37.44244109,126.9046104
37.44285007,126.9040168
37.4429673,126.9040264
37.44319651,126.9044524
37.44398336,126.9047687
37.4446697,126.9010519
37.44690499,126.9030648
37.44736331,126.9029338
37.44758477,126.9025237
37.44824723,127.055336
37.44846716,126.9024543
37.44849661,126.9036858
37.44886414,126.908348
37.44886414,126.908348
37.44980049,126.9082666
37.45031757,126.9125538
37.45033617,126.9145766
37.45065237,126.9087967
37.4507404,126.9105246
37.45092472,126.9031756
37.45096932,126.9070177
37.45098107,126.9063394
37.45099679,126.9060905
37.45103803,126.907627
37.45107347,126.9026988
37.45114194,126.9081454
37.45123501,126.9026286
37.45123501,126.9026286
37.45123501,126.9026286
37.45125631,126.9088218
37.451303,126.9060747
37.45131871,126.9029099
37.45131871,126.9029099
37.4513934,126.9022194
37.45143269,126.9025692
37.45148728,126.9035969
37.45148926,126.9028396
37.45152468,126.9037433
37.45153599,126.9030198
37.4515761,126.902488
37.4515761,126.902488
37.45159016,126.9040023
37.45170507,126.9027913
37.45171439,126.905741
37.45179463,126.9066214
37.45180375,126.9027446
37.45194623,126.9054777
37.45195231,126.9041891
37.45195293,126.9062009
37.45195293,126.9062009
37.45196844,126.9039854
37.45200544,126.8924905
37.45200602,126.911953
37.45207154,126.91124
37.45219885,126.9182342
37.45222824,126.9057674
37.45226604,126.902071
37.4522911,126.9115985
37.45230852,126.9086031
37.45231266,126.9022399
37.45241365,126.9024418
37.45241365,126.9024418
37.45247052,126.9017742
37.45258138,126.9030384
37.45260316,126.902473
37.45262013,126.9023597
37.45262013,126.9023597
37.45264098,126.9026646
37.45265607,126.9062359
37.45268982,126.8895645
37.4527423,126.9038724
37.45276657,126.9016342
37.45280429,126.9018145
37.45293955,126.9027958
37.45303132,126.9058913
37.45303969,126.9019354
37.45304389,126.9062754
37.45306054,126.9022402
37.45321265,126.902125
37.45326442,126.9038196
37.45329527,126.9081254
37.45340142,126.902077
37.45341013,126.905931
37.45344683,126.9001776
37.45346888,126.9074108
37.45350261,126.9179329
37.45351162,126.9071615
37.45354828,126.9013967
37.45358747,126.9017352
37.45358747,126.9017352
37.45360412,126.9015881
37.45360879,126.9001526
37.45362101,126.9063235
37.45364415,126.902017
37.45376526,126.9063328
37.45377061,126.9059371
37.45377313,126.9052363
37.45381669,126.9021614
37.45381669,126.9021614
37.45383347,126.9029975
37.45386416,126.9063087
37.45388762,126.8895015
37.45389653,126.9059126
37.45389653,126.9059126
37.45392656,126.9013799
37.45394702,126.9026116
37.45394702,126.9026116
37.45405669,126.9018075
37.45405669,126.9018075
37.45411589,126.9062485
37.45411706,126.89958
37.45411706,126.89958
